"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","57","Проверка перехода в конструктор","tests","Fri Oct 17 20:52:13 MSK 2025","passed","Fri Oct 17 20:52:13 MSK 2025","TestMainPageFunctionality","test_main_page","",""
"","1626","Проверка отображения заказа в работе","tests","Fri Oct 17 20:53:18 MSK 2025","passed","Fri Oct 17 20:53:19 MSK 2025","TestOrderFeedFunctionality","test_order_page","",""
"","1609","Проверка увеличения счетчика всех заказов","tests","Fri Oct 17 20:53:06 MSK 2025","passed","Fri Oct 17 20:53:07 MSK 2025","TestOrderFeedFunctionality","test_order_page","",""
"","14296","test_debug","","Fri Oct 17 20:51:53 MSK 2025","passed","Fri Oct 17 20:52:07 MSK 2025","","test_debug","",""
"","620","Проверка закрытия деталей ингредиента","tests","Fri Oct 17 20:52:44 MSK 2025","passed","Fri Oct 17 20:52:45 MSK 2025","TestMainPageFunctionality","test_main_page","",""
"","33","Проверка счетчика ингредиента","tests","Fri Oct 17 20:52:55 MSK 2025","passed","Fri Oct 17 20:52:55 MSK 2025","TestMainPageFunctionality","test_main_page","",""
"","55","Проверка перехода в ленту заказов","tests","Fri Oct 17 20:52:24 MSK 2025","passed","Fri Oct 17 20:52:24 MSK 2025","TestMainPageFunctionality","test_main_page","",""
"","82","Проверка открытия деталей ингредиента","tests","Fri Oct 17 20:52:34 MSK 2025","passed","Fri Oct 17 20:52:34 MSK 2025","TestMainPageFunctionality","test_main_page","",""
